SalesOrderNumber,EnglishProductName,Color,SalesAmount,Profit
SO43697,"Road-150 Red, 62",Red,3578.27,1406.98
SO43698,"Mountain-100 Silver, 44",Silver,3399.99,1487.84
SO43699,"Mountain-100 Silver, 44",Silver,3399.99,1487.84
SO43700,"Road-650 Black, 62",Black,699.0982,285.95
SO43701,"Mountain-100 Silver, 44",Silver,3399.99,1487.84
SO43702,"Road-150 Red, 44",Red,3578.27,1406.98
SO43703,"Road-150 Red, 62",Red,3578.27,1406.98
SO43704,"Mountain-100 Black, 48",Black,3374.99,1476.9
SO43705,"Mountain-100 Silver, 38",Silver,3399.99,1487.84
SO43706,"Road-150 Red, 48",Red,3578.27,1406.98
SO43707,"Road-150 Red, 48",Red,3578.27,1406.98
SO43708,"Road-650 Red, 52",Red,699.0982,285.95
SO43709,"Road-150 Red, 52",Red,3578.27,1406.98
SO43710,"Road-150 Red, 56",Red,3578.27,1406.98
SO43711,"Road-150 Red, 56",Red,3578.27,1406.98
SO43712,"Road-150 Red, 44",Red,3578.27,1406.98
SO43713,"Road-150 Red, 62",Red,3578.27,1406.98
SO43714,"Road-150 Red, 44",Red,3578.27,1406.98
SO43715,"Road-150 Red, 56",Red,3578.27,1406.98
SO43716,"Road-150 Red, 44",Red,3578.27,1406.98
SO43717,"Road-650 Black, 62",Black,699.0982,285.95
SO43718,"Road-150 Red, 44",Red,3578.27,1406.98
SO43719,"Road-150 Red, 48",Red,3578.27,1406.98
SO43720,"Road-150 Red, 44",Red,3578.27,1406.98
SO43721,"Road-150 Red, 62",Red,3578.27,1406.98
SO43722,"Road-150 Red, 48",Red,3578.27,1406.98
SO43723,"Road-650 Black, 58",Black,699.0982,285.95
SO43724,"Road-150 Red, 44",Red,3578.27,1406.98
SO43725,"Road-150 Red, 44",Red,3578.27,1406.98
SO43726,"Road-650 Black, 58",Black,699.0982,285.95
SO43727,"Road-150 Red, 44",Red,3578.27,1406.98
SO43728,"Road-150 Red, 52",Red,3578.27,1406.98
SO43729,"Mountain-100 Silver, 44",Silver,3399.99,1487.84
SO43730,"Mountain-100 Silver, 44",Silver,3399.99,1487.84
SO43731,"Road-150 Red, 56",Red,3578.27,1406.98
SO43732,"Mountain-100 Black, 44",Black,3374.99,1476.9
SO43733,"Road-150 Red, 48",Red,3578.27,1406.98
SO43734,"Road-150 Red, 48",Red,3578.27,1406.98
SO43735,"Road-150 Red, 62",Red,3578.27,1406.98
